instant,tanggal,musim,tahun,bulan,jam,hari_libur,seminggu,kondisi_cuaca,suhu,atemp,kelembaban,kecepatan_angin,casual,registered,total_penyewa,kategori_hari,kategori_kelembaban
4430,2011-07-08,Gugur,2011,Jul,11,0,Jumat,Berawan,0.74,0.7121,74.0,0.2537,61,104,165,Weekdays,Terlalu lembab
4431,2011-07-08,Gugur,2011,Jul,12,0,Jumat,Berawan,0.76,0.7273,70.0,0.2836,49,164,213,Weekdays,Terlalu lembab
4432,2011-07-08,Gugur,2011,Jul,13,0,Jumat,Berawan,0.78,0.7576,66.0,0.2836,54,175,229,Weekdays,Terlalu lembab
4433,2011-07-08,Gugur,2011,Jul,14,0,Jumat,Berawan,0.8,0.7879,63.0,0.3582,53,163,216,Weekdays,Ideal
4434,2011-07-08,Gugur,2011,Jul,15,0,Jumat,Berawan,0.8,0.7879,63.0,0.3582,39,102,141,Weekdays,Ideal
4435,2011-07-08,Gugur,2011,Jul,16,0,Jumat,Hujan/Salju_ringan,0.68,0.6364,83.0,0.4478,27,105,132,Weekdays,Terlalu lembab
4436,2011-07-08,Gugur,2011,Jul,17,0,Jumat,Hujan/Salju_ringan,0.66,0.5909,89.0,0.4478,6,161,167,Weekdays,Terlalu lembab
4437,2011-07-08,Gugur,2011,Jul,18,0,Jumat,Cerah,0.66,0.6061,83.0,0.0896,35,281,316,Weekdays,Terlalu lembab
4438,2011-07-08,Gugur,2011,Jul,19,0,Jumat,Cerah,0.66,0.6061,83.0,0.0896,45,225,270,Weekdays,Terlalu lembab
4439,2011-07-08,Gugur,2011,Jul,20,0,Jumat,Cerah,0.66,0.6061,83.0,0.1642,30,220,250,Weekdays,Terlalu lembab
4440,2011-07-08,Gugur,2011,Jul,21,0,Jumat,Berawan,0.66,0.6061,83.0,0.2537,46,158,204,Weekdays,Terlalu lembab
4441,2011-07-08,Gugur,2011,Jul,22,0,Jumat,Berawan,0.66,0.6061,78.0,0.194,33,136,169,Weekdays,Terlalu lembab
4442,2011-07-08,Gugur,2011,Jul,23,0,Jumat,Berawan,0.66,0.6061,78.0,0.0896,40,111,151,Weekdays,Terlalu lembab
4443,2011-07-09,Gugur,2011,Jul,0,0,Sabtu,Berawan,0.66,0.6061,83.0,0.1343,31,90,121,Weekend,Terlalu lembab
4444,2011-07-09,Gugur,2011,Jul,1,0,Sabtu,Berawan,0.64,0.5758,89.0,0.1045,5,48,53,Weekend,Terlalu lembab
4445,2011-07-09,Gugur,2011,Jul,2,0,Sabtu,Cerah,0.64,0.5758,89.0,0.1642,12,43,55,Weekend,Terlalu lembab
4446,2011-07-09,Gugur,2011,Jul,3,0,Sabtu,Cerah,0.64,0.5758,89.0,0.1343,7,23,30,Weekend,Terlalu lembab
4447,2011-07-09,Gugur,2011,Jul,4,0,Sabtu,Cerah,0.64,0.5758,83.0,0.2239,2,4,6,Weekend,Terlalu lembab
4448,2011-07-09,Gugur,2011,Jul,5,0,Sabtu,Berawan,0.62,0.5606,88.0,0.1642,4,11,15,Weekend,Terlalu lembab
4449,2011-07-09,Gugur,2011,Jul,6,0,Sabtu,Berawan,0.64,0.5758,83.0,0.194,11,27,38,Weekend,Terlalu lembab
4450,2011-07-09,Gugur,2011,Jul,7,0,Sabtu,Cerah,0.66,0.6061,78.0,0.194,21,50,71,Weekend,Terlalu lembab
4451,2011-07-09,Gugur,2011,Jul,8,0,Sabtu,Cerah,0.7,0.6515,70.0,0.2537,68,114,182,Weekend,Terlalu lembab
4452,2011-07-09,Gugur,2011,Jul,9,0,Sabtu,Cerah,0.74,0.6818,57.99999999999999,0.2836,77,170,247,Weekend,Ideal
4453,2011-07-09,Gugur,2011,Jul,10,0,Sabtu,Cerah,0.76,0.697,52.0,0.1642,87,177,264,Weekend,Ideal
4454,2011-07-09,Gugur,2011,Jul,11,0,Sabtu,Cerah,0.78,0.697,46.0,0.2985,101,189,290,Weekend,Ideal
4455,2011-07-09,Gugur,2011,Jul,12,0,Sabtu,Cerah,0.8,0.7273,46.0,0.2537,145,221,366,Weekend,Ideal
4456,2011-07-09,Gugur,2011,Jul,13,0,Sabtu,Cerah,0.82,0.7424,41.0,0.2239,167,249,416,Weekend,Terlalu kering
4457,2011-07-09,Gugur,2011,Jul,14,0,Sabtu,Cerah,0.84,0.7424,36.0,0.1343,158,215,373,Weekend,Terlalu kering
4458,2011-07-09,Gugur,2011,Jul,15,0,Sabtu,Cerah,0.84,0.7273,34.0,0.0896,182,220,402,Weekend,Terlalu kering
4459,2011-07-09,Gugur,2011,Jul,16,0,Sabtu,Cerah,0.82,0.7273,38.0,0.0,171,245,416,Weekend,Terlalu kering
4460,2011-07-09,Gugur,2011,Jul,17,0,Sabtu,Cerah,0.84,0.7273,32.0,0.0,160,241,401,Weekend,Terlalu kering
4461,2011-07-09,Gugur,2011,Jul,18,0,Sabtu,Cerah,0.82,0.7273,36.0,0.1045,132,246,378,Weekend,Terlalu kering
4462,2011-07-09,Gugur,2011,Jul,19,0,Sabtu,Cerah,0.76,0.697,55.00000000000001,0.1642,128,178,306,Weekend,Ideal
4463,2011-07-09,Gugur,2011,Jul,20,0,Sabtu,Cerah,0.76,0.7121,57.99999999999999,0.2239,129,185,314,Weekend,Ideal
4464,2011-07-09,Gugur,2011,Jul,21,0,Sabtu,Cerah,0.74,0.6818,57.99999999999999,0.1642,83,155,238,Weekend,Ideal
4465,2011-07-09,Gugur,2011,Jul,22,0,Sabtu,Cerah,0.72,0.6818,62.0,0.1642,60,154,214,Weekend,Ideal
4466,2011-07-09,Gugur,2011,Jul,23,0,Sabtu,Cerah,0.72,0.6667,57.99999999999999,0.194,47,93,140,Weekend,Ideal
4467,2011-07-10,Gugur,2011,Jul,0,0,Minggu,Cerah,0.7,0.6515,61.0,0.1642,42,112,154,Weekend,Ideal
4468,2011-07-10,Gugur,2011,Jul,1,0,Minggu,Cerah,0.7,0.6515,61.0,0.1343,19,94,113,Weekend,Ideal
4469,2011-07-10,Gugur,2011,Jul,2,0,Minggu,Cerah,0.68,0.6364,69.0,0.0896,28,68,96,Weekend,Terlalu lembab
4470,2011-07-10,Gugur,2011,Jul,3,0,Minggu,Cerah,0.66,0.6212,74.0,0.0896,6,19,25,Weekend,Terlalu lembab
4471,2011-07-10,Gugur,2011,Jul,4,0,Minggu,Cerah,0.66,0.6212,69.0,0.0896,0,5,5,Weekend,Terlalu lembab
4472,2011-07-10,Gugur,2011,Jul,5,0,Minggu,Cerah,0.66,0.6212,74.0,0.0,7,10,17,Weekend,Terlalu lembab
4473,2011-07-10,Gugur,2011,Jul,6,0,Minggu,Cerah,0.64,0.5909,78.0,0.0896,8,17,25,Weekend,Terlalu lembab
4474,2011-07-10,Gugur,2011,Jul,7,0,Minggu,Cerah,0.7,0.6515,70.0,0.0896,27,38,65,Weekend,Terlalu lembab
4475,2011-07-10,Gugur,2011,Jul,8,0,Minggu,Cerah,0.72,0.6818,66.0,0.0,27,65,92,Weekend,Terlalu lembab
4476,2011-07-10,Gugur,2011,Jul,9,0,Minggu,Cerah,0.74,0.697,66.0,0.0896,62,107,169,Weekend,Terlalu lembab
4477,2011-07-10,Gugur,2011,Jul,10,0,Minggu,Cerah,0.76,0.697,55.00000000000001,0.1343,95,173,268,Weekend,Ideal
4478,2011-07-10,Gugur,2011,Jul,11,0,Minggu,Cerah,0.78,0.7273,55.00000000000001,0.194,110,177,287,Weekend,Ideal
4479,2011-07-10,Gugur,2011,Jul,12,0,Minggu,Cerah,0.82,0.7576,46.0,0.2836,133,244,377,Weekend,Ideal
4480,2011-07-10,Gugur,2011,Jul,13,0,Minggu,Cerah,0.8,0.7273,46.0,0.2985,139,228,367,Weekend,Ideal
4481,2011-07-10,Gugur,2011,Jul,14,0,Minggu,Cerah,0.82,0.7424,41.0,0.3284,122,227,349,Weekend,Terlalu kering
4482,2011-07-10,Gugur,2011,Jul,15,0,Minggu,Cerah,0.84,0.7424,39.0,0.2836,142,219,361,Weekend,Terlalu kering
4483,2011-07-10,Gugur,2011,Jul,16,0,Minggu,Cerah,0.84,0.7576,41.0,0.2836,128,244,372,Weekend,Terlalu kering
4484,2011-07-10,Gugur,2011,Jul,17,0,Minggu,Cerah,0.84,0.7424,36.0,0.2239,146,217,363,Weekend,Terlalu kering
4485,2011-07-10,Gugur,2011,Jul,18,0,Minggu,Cerah,0.82,0.7424,43.0,0.2836,141,222,363,Weekend,Terlalu kering
4486,2011-07-10,Gugur,2011,Jul,19,0,Minggu,Cerah,0.8,0.7424,49.0,0.3284,120,183,303,Weekend,Ideal
4487,2011-07-10,Gugur,2011,Jul,20,0,Minggu,Cerah,0.76,0.697,55.00000000000001,0.194,101,167,268,Weekend,Ideal
4488,2011-07-10,Gugur,2011,Jul,21,0,Minggu,Cerah,0.74,0.6818,62.0,0.2537,65,162,227,Weekend,Ideal
4489,2011-07-10,Gugur,2011,Jul,22,0,Minggu,Cerah,0.74,0.697,66.0,0.2239,56,87,143,Weekend,Terlalu lembab
4490,2011-07-10,Gugur,2011,Jul,23,0,Minggu,Cerah,0.72,0.6818,66.0,0.2537,19,53,72,Weekend,Terlalu lembab
4491,2011-07-11,Gugur,2011,Jul,0,0,Senin,Cerah,0.7,0.6515,65.0,0.194,10,25,35,Weekdays,Terlalu lembab
4492,2011-07-11,Gugur,2011,Jul,1,0,Senin,Cerah,0.7,0.6515,61.0,0.2836,5,5,10,Weekdays,Ideal
4493,2011-07-11,Gugur,2011,Jul,2,0,Senin,Cerah,0.7,0.6515,61.0,0.2239,8,4,12,Weekdays,Ideal
4494,2011-07-11,Gugur,2011,Jul,3,0,Senin,Cerah,0.68,0.6364,65.0,0.1642,2,8,10,Weekdays,Terlalu lembab
4495,2011-07-11,Gugur,2011,Jul,4,0,Senin,Cerah,0.66,0.6212,74.0,0.2239,0,4,4,Weekdays,Terlalu lembab
4496,2011-07-11,Gugur,2011,Jul,5,0,Senin,Cerah,0.66,0.6212,74.0,0.1343,5,21,26,Weekdays,Terlalu lembab
4497,2011-07-11,Gugur,2011,Jul,6,0,Senin,Cerah,0.68,0.6364,74.0,0.194,19,102,121,Weekdays,Terlalu lembab
4498,2011-07-11,Gugur,2011,Jul,7,0,Senin,Cerah,0.7,0.6667,74.0,0.2537,28,289,317,Weekdays,Terlalu lembab
4499,2011-07-11,Gugur,2011,Jul,8,0,Senin,Cerah,0.74,0.697,66.0,0.2836,35,385,420,Weekdays,Terlalu lembab
4500,2011-07-11,Gugur,2011,Jul,9,0,Senin,Cerah,0.78,0.7424,59.0,0.2985,41,167,208,Weekdays,Ideal
4501,2011-07-11,Gugur,2011,Jul,10,0,Senin,Cerah,0.8,0.7576,55.00000000000001,0.3582,44,73,117,Weekdays,Ideal
4502,2011-07-11,Gugur,2011,Jul,11,0,Senin,Cerah,0.82,0.7879,56.00000000000001,0.2985,39,89,128,Weekdays,Ideal
4503,2011-07-11,Gugur,2011,Jul,12,0,Senin,Cerah,0.84,0.803,53.0,0.2836,40,108,148,Weekdays,Ideal
4504,2011-07-11,Gugur,2011,Jul,13,0,Senin,Cerah,0.86,0.8182,50.0,0.2537,22,119,141,Weekdays,Ideal
4505,2011-07-11,Gugur,2011,Jul,14,0,Senin,Cerah,0.86,0.8333,53.0,0.2836,40,94,134,Weekdays,Ideal
4506,2011-07-11,Gugur,2011,Jul,15,0,Senin,Cerah,0.86,0.8485,56.00000000000001,0.4179,38,108,146,Weekdays,Ideal
4507,2011-07-11,Gugur,2011,Jul,16,0,Senin,Cerah,0.86,0.8485,56.00000000000001,0.3881,57,182,239,Weekdays,Ideal
4508,2011-07-11,Gugur,2011,Jul,17,0,Senin,Cerah,0.86,0.8485,56.00000000000001,0.4179,59,455,514,Weekdays,Ideal
4509,2011-07-11,Gugur,2011,Jul,18,0,Senin,Cerah,0.86,0.8333,53.0,0.3881,57,415,472,Weekdays,Ideal
4510,2011-07-11,Gugur,2011,Jul,19,0,Senin,Cerah,0.84,0.8333,59.0,0.3284,80,293,373,Weekdays,Ideal
4511,2011-07-11,Gugur,2011,Jul,20,0,Senin,Cerah,0.72,0.697,74.0,0.4179,42,194,236,Weekdays,Terlalu lembab
4512,2011-07-11,Gugur,2011,Jul,21,0,Senin,Cerah,0.7,0.6667,79.0,0.4179,21,109,130,Weekdays,Terlalu lembab
4513,2011-07-11,Gugur,2011,Jul,22,0,Senin,Cerah,0.72,0.697,74.0,0.1343,20,70,90,Weekdays,Terlalu lembab
4514,2011-07-11,Gugur,2011,Jul,23,0,Senin,Cerah,0.7,0.6667,79.0,0.1343,11,44,55,Weekdays,Terlalu lembab
4515,2011-07-12,Gugur,2011,Jul,0,0,Selasa,Cerah,0.7,0.6667,79.0,0.1343,3,19,22,Weekdays,Terlalu lembab
4516,2011-07-12,Gugur,2011,Jul,1,0,Selasa,Cerah,0.7,0.6667,79.0,0.0896,6,8,14,Weekdays,Terlalu lembab
4517,2011-07-12,Gugur,2011,Jul,2,0,Selasa,Cerah,0.7,0.6667,79.0,0.1045,2,7,9,Weekdays,Terlalu lembab
4518,2011-07-12,Gugur,2011,Jul,3,0,Selasa,Berawan,0.7,0.6667,79.0,0.0,2,6,8,Weekdays,Terlalu lembab
4519,2011-07-12,Gugur,2011,Jul,4,0,Selasa,Cerah,0.7,0.6667,79.0,0.1642,0,6,6,Weekdays,Terlalu lembab
4520,2011-07-12,Gugur,2011,Jul,5,0,Selasa,Cerah,0.7,0.6667,79.0,0.0896,4,21,25,Weekdays,Terlalu lembab
4521,2011-07-12,Gugur,2011,Jul,6,0,Selasa,Cerah,0.74,0.6818,57.99999999999999,0.2239,13,102,115,Weekdays,Ideal
4522,2011-07-12,Gugur,2011,Jul,7,0,Selasa,Cerah,0.76,0.697,55.00000000000001,0.194,29,301,330,Weekdays,Ideal
4523,2011-07-12,Gugur,2011,Jul,8,0,Selasa,Cerah,0.76,0.7121,57.99999999999999,0.2239,35,382,417,Weekdays,Ideal
4524,2011-07-12,Gugur,2011,Jul,9,0,Selasa,Cerah,0.78,0.7273,55.00000000000001,0.4925,27,149,176,Weekdays,Ideal
4525,2011-07-12,Gugur,2011,Jul,10,0,Selasa,Cerah,0.82,0.7727,52.0,0.1642,38,85,123,Weekdays,Ideal
4526,2011-07-12,Gugur,2011,Jul,11,0,Selasa,Cerah,0.82,0.7727,52.0,0.1642,39,86,125,Weekdays,Ideal
4527,2011-07-12,Gugur,2011,Jul,12,0,Selasa,Cerah,0.86,0.7879,44.0,0.2985,38,125,163,Weekdays,Terlalu kering
4528,2011-07-12,Gugur,2011,Jul,13,0,Selasa,Cerah,0.86,0.803,47.0,0.2239,32,104,136,Weekdays,Ideal
4529,2011-07-12,Gugur,2011,Jul,14,0,Selasa,Cerah,0.9,0.8485,42.0,0.2985,33,91,124,Weekdays,Terlalu kering
4530,2011-07-12,Gugur,2011,Jul,15,0,Selasa,Cerah,0.9,0.8485,42.0,0.3582,37,111,148,Weekdays,Terlalu kering
4531,2011-07-12,Gugur,2011,Jul,16,0,Selasa,Cerah,0.86,0.7879,44.0,0.2836,25,177,202,Weekdays,Terlalu kering
4532,2011-07-12,Gugur,2011,Jul,17,0,Selasa,Cerah,0.88,0.8182,44.0,0.2836,48,380,428,Weekdays,Terlalu kering
4533,2011-07-12,Gugur,2011,Jul,18,0,Selasa,Cerah,0.86,0.803,47.0,0.2985,39,472,511,Weekdays,Ideal
4534,2011-07-12,Gugur,2011,Jul,19,0,Selasa,Cerah,0.84,0.7576,44.0,0.2836,42,295,337,Weekdays,Terlalu kering
4535,2011-07-12,Gugur,2011,Jul,20,0,Selasa,Cerah,0.82,0.7424,43.0,0.194,57,251,308,Weekdays,Terlalu kering
4536,2011-07-12,Gugur,2011,Jul,21,0,Selasa,Cerah,0.82,0.7424,43.0,0.1045,49,209,258,Weekdays,Terlalu kering
4537,2011-07-12,Gugur,2011,Jul,22,0,Selasa,Cerah,0.8,0.7273,46.0,0.1343,44,150,194,Weekdays,Ideal
4538,2011-07-12,Gugur,2011,Jul,23,0,Selasa,Cerah,0.78,0.7121,52.0,0.0,20,59,79,Weekdays,Ideal
4539,2011-07-13,Gugur,2011,Jul,0,0,Rabu,Cerah,0.76,0.7121,62.0,0.0,9,37,46,Weekdays,Ideal
4540,2011-07-13,Gugur,2011,Jul,1,0,Rabu,Cerah,0.76,0.697,55.00000000000001,0.0,1,11,12,Weekdays,Ideal
4541,2011-07-13,Gugur,2011,Jul,2,0,Rabu,Cerah,0.76,0.697,55.00000000000001,0.0,2,3,5,Weekdays,Ideal
4542,2011-07-13,Gugur,2011,Jul,3,0,Rabu,Cerah,0.74,0.6818,57.99999999999999,0.194,0,4,4,Weekdays,Ideal
4543,2011-07-13,Gugur,2011,Jul,4,0,Rabu,Cerah,0.74,0.6818,57.99999999999999,0.2537,0,5,5,Weekdays,Ideal
4544,2011-07-13,Gugur,2011,Jul,5,0,Rabu,Cerah,0.74,0.6818,57.99999999999999,0.194,4,22,26,Weekdays,Ideal
4545,2011-07-13,Gugur,2011,Jul,6,0,Rabu,Cerah,0.74,0.6818,57.99999999999999,0.1642,18,103,121,Weekdays,Ideal
4546,2011-07-13,Gugur,2011,Jul,7,0,Rabu,Cerah,0.76,0.697,55.00000000000001,0.2537,32,281,313,Weekdays,Ideal
4547,2011-07-13,Gugur,2011,Jul,8,0,Rabu,Cerah,0.8,0.7424,49.0,0.2537,31,418,449,Weekdays,Ideal
4548,2011-07-13,Gugur,2011,Jul,9,0,Rabu,Cerah,0.82,0.7424,41.0,0.194,23,163,186,Weekdays,Terlalu kering
4549,2011-07-13,Gugur,2011,Jul,10,0,Rabu,Cerah,0.82,0.7576,46.0,0.194,33,80,113,Weekdays,Ideal
4550,2011-07-13,Gugur,2011,Jul,11,0,Rabu,Cerah,0.84,0.7424,39.0,0.1642,55,110,165,Weekdays,Terlalu kering
4551,2011-07-13,Gugur,2011,Jul,12,0,Rabu,Cerah,0.84,0.7576,41.0,0.2836,40,134,174,Weekdays,Terlalu kering
4552,2011-07-13,Gugur,2011,Jul,13,0,Rabu,Hujan/Salju_ringan,0.82,0.7576,46.0,0.1343,39,119,158,Weekdays,Ideal
4553,2011-07-13,Gugur,2011,Jul,14,0,Rabu,Hujan/Salju_ringan,0.82,0.7576,46.0,0.1343,27,89,116,Weekdays,Ideal
4554,2011-07-13,Gugur,2011,Jul,15,0,Rabu,Hujan/Salju_ringan,0.64,0.5606,94.0,0.1343,13,33,46,Weekdays,Terlalu lembab
4555,2011-07-13,Gugur,2011,Jul,16,0,Rabu,Berawan,0.66,0.5909,89.0,0.0,23,118,141,Weekdays,Terlalu lembab
4556,2011-07-13,Gugur,2011,Jul,17,0,Rabu,Cerah,0.7,0.6667,79.0,0.0,70,418,488,Weekdays,Terlalu lembab
4557,2011-07-13,Gugur,2011,Jul,18,0,Rabu,Cerah,0.72,0.697,79.0,0.1343,51,412,463,Weekdays,Terlalu lembab
4558,2011-07-13,Gugur,2011,Jul,19,0,Rabu,Cerah,0.7,0.6667,79.0,0.1045,79,340,419,Weekdays,Terlalu lembab
4559,2011-07-13,Gugur,2011,Jul,20,0,Rabu,Cerah,0.7,0.6667,84.0,0.1642,61,281,342,Weekdays,Terlalu lembab
4560,2011-07-13,Gugur,2011,Jul,21,0,Rabu,Cerah,0.7,0.6667,79.0,0.1045,56,194,250,Weekdays,Terlalu lembab
4561,2011-07-13,Gugur,2011,Jul,22,0,Rabu,Cerah,0.68,0.6364,83.0,0.194,48,136,184,Weekdays,Terlalu lembab
4562,2011-07-13,Gugur,2011,Jul,23,0,Rabu,Cerah,0.66,0.6061,83.0,0.2537,33,83,116,Weekdays,Terlalu lembab
4563,2011-07-14,Gugur,2011,Jul,0,0,Kamis,Cerah,0.66,0.6212,69.0,0.2985,14,32,46,Weekdays,Terlalu lembab
4564,2011-07-14,Gugur,2011,Jul,1,0,Kamis,Cerah,0.66,0.6212,61.0,0.2537,4,21,25,Weekdays,Ideal
4565,2011-07-14,Gugur,2011,Jul,2,0,Kamis,Cerah,0.64,0.6212,56.99999999999999,0.2985,3,7,10,Weekdays,Ideal
4566,2011-07-14,Gugur,2011,Jul,3,0,Kamis,Cerah,0.62,0.6212,56.99999999999999,0.2985,1,5,6,Weekdays,Ideal
4567,2011-07-14,Gugur,2011,Jul,4,0,Kamis,Cerah,0.62,0.6212,53.0,0.2537,0,6,6,Weekdays,Ideal
4568,2011-07-14,Gugur,2011,Jul,5,0,Kamis,Cerah,0.6,0.6212,56.00000000000001,0.2239,6,22,28,Weekdays,Ideal
4569,2011-07-14,Gugur,2011,Jul,6,0,Kamis,Cerah,0.6,0.6061,60.0,0.2239,14,116,130,Weekdays,Ideal
4570,2011-07-14,Gugur,2011,Jul,7,0,Kamis,Cerah,0.62,0.6212,53.0,0.2537,23,311,334,Weekdays,Ideal
4571,2011-07-14,Gugur,2011,Jul,8,0,Kamis,Cerah,0.64,0.6212,50.0,0.3582,53,433,486,Weekdays,Ideal
4572,2011-07-14,Gugur,2011,Jul,9,0,Kamis,Cerah,0.68,0.6364,47.0,0.2836,29,195,224,Weekdays,Ideal
4573,2011-07-14,Gugur,2011,Jul,10,0,Kamis,Cerah,0.7,0.6364,42.0,0.2537,32,95,127,Weekdays,Terlalu kering
4574,2011-07-14,Gugur,2011,Jul,11,0,Kamis,Cerah,0.72,0.6515,37.0,0.2239,38,110,148,Weekdays,Terlalu kering
4575,2011-07-14,Gugur,2011,Jul,12,0,Kamis,Cerah,0.74,0.6515,35.0,0.2537,51,172,223,Weekdays,Terlalu kering
4576,2011-07-14,Gugur,2011,Jul,13,0,Kamis,Cerah,0.76,0.6667,33.0,0.3284,39,138,177,Weekdays,Terlalu kering
4577,2011-07-14,Gugur,2011,Jul,14,0,Kamis,Cerah,0.74,0.6515,35.0,0.2836,49,129,178,Weekdays,Terlalu kering
4578,2011-07-14,Gugur,2011,Jul,15,0,Kamis,Cerah,0.76,0.6667,33.0,0.2985,42,138,180,Weekdays,Terlalu kering
4579,2011-07-14,Gugur,2011,Jul,16,0,Kamis,Cerah,0.76,0.6667,33.0,0.1343,43,231,274,Weekdays,Terlalu kering
4580,2011-07-14,Gugur,2011,Jul,17,0,Kamis,Cerah,0.74,0.6515,37.0,0.1343,78,517,595,Weekdays,Terlalu kering
4581,2011-07-14,Gugur,2011,Jul,18,0,Kamis,Cerah,0.72,0.6515,42.0,0.194,94,484,578,Weekdays,Terlalu kering
4582,2011-07-14,Gugur,2011,Jul,19,0,Kamis,Cerah,0.72,0.6515,39.0,0.2239,67,333,400,Weekdays,Terlalu kering
4583,2011-07-14,Gugur,2011,Jul,20,0,Kamis,Cerah,0.7,0.6364,42.0,0.2239,81,267,348,Weekdays,Terlalu kering
4584,2011-07-14,Gugur,2011,Jul,21,0,Kamis,Cerah,0.66,0.6212,50.0,0.1343,58,203,261,Weekdays,Ideal
4585,2011-07-14,Gugur,2011,Jul,22,0,Kamis,Cerah,0.64,0.6212,56.99999999999999,0.0896,42,134,176,Weekdays,Ideal
4586,2011-07-14,Gugur,2011,Jul,23,0,Kamis,Cerah,0.64,0.6061,65.0,0.2537,27,97,124,Weekdays,Terlalu lembab
4587,2011-07-15,Gugur,2011,Jul,0,0,Jumat,Cerah,0.62,0.5909,73.0,0.2239,23,57,80,Weekdays,Terlalu lembab
4588,2011-07-15,Gugur,2011,Jul,1,0,Jumat,Cerah,0.62,0.5909,73.0,0.194,7,13,20,Weekdays,Terlalu lembab
4589,2011-07-15,Gugur,2011,Jul,2,0,Jumat,Cerah,0.6,0.5758,78.0,0.1642,16,22,38,Weekdays,Terlalu lembab
4590,2011-07-15,Gugur,2011,Jul,3,0,Jumat,Cerah,0.6,0.5909,73.0,0.194,1,6,7,Weekdays,Terlalu lembab
4591,2011-07-15,Gugur,2011,Jul,4,0,Jumat,Cerah,0.6,0.5909,73.0,0.1642,2,8,10,Weekdays,Terlalu lembab
4592,2011-07-15,Gugur,2011,Jul,5,0,Jumat,Cerah,0.6,0.5909,73.0,0.1343,7,16,23,Weekdays,Terlalu lembab
4593,2011-07-15,Gugur,2011,Jul,6,0,Jumat,Berawan,0.6,0.5909,73.0,0.1045,12,108,120,Weekdays,Terlalu lembab
4594,2011-07-15,Gugur,2011,Jul,7,0,Jumat,Cerah,0.64,0.6061,65.0,0.1045,17,257,274,Weekdays,Terlalu lembab
4595,2011-07-15,Gugur,2011,Jul,8,0,Jumat,Cerah,0.64,0.6061,65.0,0.2537,50,514,564,Weekdays,Terlalu lembab
4596,2011-07-15,Gugur,2011,Jul,9,0,Jumat,Cerah,0.68,0.6364,54.0,0.194,31,176,207,Weekdays,Ideal
4597,2011-07-15,Gugur,2011,Jul,10,0,Jumat,Berawan,0.66,0.6212,61.0,0.1642,59,107,166,Weekdays,Ideal
4598,2011-07-15,Gugur,2011,Jul,11,0,Jumat,Cerah,0.7,0.6515,54.0,0.1343,73,137,210,Weekdays,Ideal
4599,2011-07-15,Gugur,2011,Jul,12,0,Jumat,Cerah,0.7,0.6515,48.0,0.194,61,177,238,Weekdays,Ideal
4600,2011-07-15,Gugur,2011,Jul,13,0,Jumat,Cerah,0.7,0.6515,54.0,0.194,85,162,247,Weekdays,Ideal
4601,2011-07-15,Gugur,2011,Jul,14,0,Jumat,Cerah,0.7,0.6515,51.0,0.194,105,160,265,Weekdays,Ideal
4602,2011-07-15,Gugur,2011,Jul,15,0,Jumat,Cerah,0.72,0.6515,45.0,0.1642,74,163,237,Weekdays,Ideal
4603,2011-07-15,Gugur,2011,Jul,16,0,Jumat,Cerah,0.72,0.6667,51.0,0.194,96,265,361,Weekdays,Ideal
4604,2011-07-15,Gugur,2011,Jul,17,0,Jumat,Cerah,0.74,0.6667,42.0,0.2537,104,483,587,Weekdays,Terlalu kering
4605,2011-07-15,Gugur,2011,Jul,18,0,Jumat,Cerah,0.72,0.6515,45.0,0.2239,102,394,496,Weekdays,Ideal
4606,2011-07-15,Gugur,2011,Jul,19,0,Jumat,Cerah,0.7,0.6364,45.0,0.2239,114,280,394,Weekdays,Ideal
4607,2011-07-15,Gugur,2011,Jul,20,0,Jumat,Cerah,0.7,0.6515,51.0,0.2239,92,251,343,Weekdays,Ideal
4608,2011-07-15,Gugur,2011,Jul,21,0,Jumat,Cerah,0.66,0.6212,54.0,0.1045,75,186,261,Weekdays,Ideal
4609,2011-07-15,Gugur,2011,Jul,22,0,Jumat,Cerah,0.66,0.6212,56.99999999999999,0.2239,71,152,223,Weekdays,Ideal
4610,2011-07-15,Gugur,2011,Jul,23,0,Jumat,Cerah,0.64,0.6212,61.0,0.1642,41,126,167,Weekdays,Ideal
4611,2011-07-16,Gugur,2011,Jul,0,0,Sabtu,Cerah,0.62,0.6061,65.0,0.194,42,68,110,Weekend,Terlalu lembab
4612,2011-07-16,Gugur,2011,Jul,1,0,Sabtu,Cerah,0.6,0.5909,69.0,0.1045,24,51,75,Weekend,Terlalu lembab
4613,2011-07-16,Gugur,2011,Jul,2,0,Sabtu,Cerah,0.6,0.5909,73.0,0.1343,10,48,58,Weekend,Terlalu lembab
4614,2011-07-16,Gugur,2011,Jul,3,0,Sabtu,Cerah,0.6,0.5758,78.0,0.1343,6,20,26,Weekend,Terlalu lembab
4615,2011-07-16,Gugur,2011,Jul,4,0,Sabtu,Cerah,0.6,0.5909,73.0,0.0896,9,7,16,Weekend,Terlalu lembab
4616,2011-07-16,Gugur,2011,Jul,5,0,Sabtu,Cerah,0.58,0.5455,78.0,0.0896,4,6,10,Weekend,Terlalu lembab
4617,2011-07-16,Gugur,2011,Jul,6,0,Sabtu,Cerah,0.6,0.5758,78.0,0.1642,16,21,37,Weekend,Terlalu lembab
4618,2011-07-16,Gugur,2011,Jul,7,0,Sabtu,Cerah,0.62,0.5909,73.0,0.1343,14,38,52,Weekend,Terlalu lembab
